Crossing,Finishing,HeadingAccuracy,ShortPassing,FKAccuracy,LongPassing,BallControl,SprintSpeed,Agility,Reactions,ShotPower,Stamina,Vision,Composure,Preferred Foot,Overall
76,75,82,83,68,79,82,55,74,84,86,83,80,81,1,85
83,79,80,81,75,77,85,88,78,81,84,89,79,80,1,85
63,89,84,77,54,72,84,66,57,83,86,76,74,83,1,85
72,72,76,85,68,82,84,60,55,87,82,78,82,84,1,85
65,87,82,65,59,52,83,76,58,85,83,76,74,83,1,85
73,75,59,84,68,81,85,73,76,87,84,93,76,84,1,85
45,57,94,76,76,70,68,65,46,85,92,61,59,84,1,85
75,64,68,83,52,77,79,77,83,84,78,94,76,82,0,85
48,43,80,70,39,69,73,69,61,81,70,65,58,81,1,85
75,81,80,83,73,62,86,76,76,83,81,75,85,79,1,85
86,59,72,80,75,77,83,75,75,85,71,89,70,88,0,85
61,45,84,73,52,66,70,59,57,87,75,66,59,81,1,85
46,46,80,70,47,61,62,70,63,83,63,60,48,79,1,85
73,86,83,79,82,73,84,59,75,82,90,61,79,90,1,85
36,40,80,77,27,67,73,79,60,80,66,76,49,75,1,84
47,37,81,68,44,58,56,70,56,76,72,67,27,73,1,84
89,65,74,83,79,86,82,85,73,83,80,92,74,80,0,84
58,45,85,76,69,78,73,66,45,83,68,67,57,77,0,84
84,73,58,85,81,82,85,76,77,84,87,89,86,83,1,84
30,20,86,78,30,63,63,84,33,79,77,65,30,72,1,84
76,84,69,77,54,60,86,89,85,81,84,75,73,79,1,84
69,83,77,85,68,80,85,76,76,85,78,90,85,86,1,84
79,66,75,83,53,78,82,72,69,83,78,92,75,84,1,84
72,33,80,81,32,78,76,76,69,81,53,75,51,79,1,84
68,52,73,84,50,86,79,53,51,75,59,84,83,89,1,84
75,57,56,89,76,87,85,69,80,83,71,79,87,79,1,84
83,81,75,83,72,76,86,80,86,83,83,83,80,82,0,84
83,41,70,81,47,71,83,84,81,82,64,84,57,77,1,84
79,79,65,80,88,74,85,87,82,79,87,79,82,79,1,84
78,85,65,79,70,64,85,87,82,84,86,85,80,82,1,84
19,18,16,32,14,31,21,64,67,84,20,36,48,65,0,84
49,25,80,71,16,71,71,69,61,80,65,66,59,82,1,84
11,11,12,33,13,31,23,56,70,79,23,30,44,65,1,84
80,67,58,80,69,69,85,93,91,80,84,78,76,80,1,84
80,88,78,79,76,64,85,78,87,85,79,75,75,85,0,84
9,9,13,45,8,40,22,52,52,80,23,43,54,66,1,84
71,64,74,84,67,83,79,59,44,83,83,84,73,84,0,84
11,11,11,15,15,20,20,44,43,83,14,34,53,48,1,84
68,72,51,86,68,82,83,57,71,84,69,77,86,79,1,84
81,51,74,78,71,67,78,93,67,83,86,89,69,75,1,84
74,73,50,88,74,83,86,68,78,85,77,69,86,87,1,84
82,78,65,80,65,51,85,89,85,82,78,91,78,79,1,84
83,72,51,82,82,79,85,84,92,80,83,73,82,82,0,84
72,84,90,75,49,67,77,73,67,86,80,83,74,80,1,84
76,77,31,80,83,77,84,86,89,82,79,85,83,79,1,84
24,14,13,39,22,39,14,54,62,79,24,41,46,64,1,84
80,66,49,88,81,87,86,64,79,77,74,74,88,80,1,84
69,71,80,89,68,79,84,74,78,84,78,86,79,89,1,84
87,78,59,84,84,80,90,72,79,75,80,73,87,82,1,84
70,88,84,76,77,75,88,64,77,85,84,66,83,87,1,84
47,44,85,60,35,51,58,73,60,81,77,69,45,82,1,84
11,11,12,33,12,34,15,50,51,78,21,37,49,66,1,84
55,86,89,79,73,58,82,66,76,85,79,68,70,87,1,84
18,12,16,44,15,46,40,60,62,81,36,34,59,67,1,84
38,27,77,74,45,72,71,53,53,82,65,55,57,75,1,84
82,76,38,82,79,74,87,86,92,83,76,75,85,84,1,84
40,21,72,65,31,65,65,77,52,80,54,53,62,88,1,84
92,67,41,79,73,75,88,82,91,78,79,65,84,80,1,84
80,85,51,82,81,71,88,76,87,85,86,64,80,85,0,84
78,78,43,78,64,70,83,92,90,82,83,73,84,75,0,83
66,84,74,76,54,66,85,85,92,86,78,84,77,82,1,83
83,74,64,83,78,82,83,87,85,84,82,86,83,81,1,83
40,38,83,74,49,61,70,78,77,85,53,76,42,71,1,83
56,85,83,73,67,47,74,83,55,84,85,56,58,79,1,83
62,31,79,79,32,75,78,78,74,79,55,80,60,80,0,83
62,74,42,88,70,78,88,60,89,82,76,82,81,79,1,83
67,75,82,84,73,86,81,66,75,83,82,87,80,74,1,83
83,75,54,84,81,75,86,84,87,80,79,79,85,80,0,83
81,76,52,77,70,63,83,93,87,81,77,76,75,75,1,83
35,20,80,74,27,69,64,77,48,82,44,63,61,75,1,83
78,80,77,81,87,79,84,76,76,79,84,76,81,74,0,83
69,87,76,77,56,55,84,93,81,86,74,83,61,74,1,83
70,69,77,85,59,83,83,74,79,83,80,82,80,82,0,83
75,72,75,84,75,79,83,79,76,83,77,86,82,80,1,83
79,86,60,78,76,73,82,91,87,82,82,83,81,78,1,83
84,68,53,86,78,89,83,74,85,82,80,86,88,83,0,83
86,73,52,83,75,75,83,79,79,85,82,90,83,75,1,83
78,79,53,77,78,71,87,87,88,83,84,74,71,75,1,83
61,83,80,78,56,56,81,80,70,82,81,72,58,72,0,83
45,39,81,74,30,67,62,67,52,77,46,78,50,75,1,83
73,62,42,87,68,82,89,74,81,70,79,82,88,72,1,83
25,11,17,32,19,36,16,33,41,79,25,37,55,63,1,83
72,71,74,86,69,83,83,65,76,82,81,77,84,73,1,83
74,81,46,79,62,68,83,90,87,80,85,68,74,74,1,83
17,19,15,55,16,55,40,44,55,83,31,45,68,69,0,83
35,34,85,72,28,69,68,61,61,82,43,58,41,75,1,83
62,29,83,81,29,74,80,71,61,82,46,79,67,80,1,83
84,70,50,86,80,75,89,77,86,78,78,77,84,76,0,83
83,78,65,84,76,79,89,77,80,83,86,69,84,83,1,83
79,71,44,80,69,74,88,89,89,74,83,72,79,82,1,83
75,78,50,77,74,74,81,90,94,76,79,75,74,80,1,83
50,61,78,82,53,79,78,68,58,76,76,83,73,84,1,83
70,32,82,80,37,61,78,79,60,79,54,78,53,73,1,83
19,13,14,35,15,32,22,51,50,80,22,31,55,20,0,83
70,72,59,85,49,77,80,74,82,86,70,95,79,79,1,83
25,37,80,73,56,77,72,55,33,81,75,81,65,85,0,83
85,63,72,86,60,78,83,79,69,80,65,85,83,76,1,83
72,78,80,78,67,58,82,91,84,80,83,78,74,77,0,83
79,76,45,83,76,84,82,73,77,81,75,86,85,85,1,83
72,63,34,84,75,79,84,71,91,84,69,88,82,83,1,83
11,15,14,36,13,41,24,49,59,79,28,39,42,64,1,83
14,11,16,30,11,25,17,51,45,81,21,39,41,52,1,83
60,50,69,80,61,72,79,72,80,81,80,89,67,80,1,83
77,74,53,80,64,71,86,78,87,79,85,83,84,76,1,83
85,68,83,84,86,73,83,76,64,84,84,90,69,76,0,83
11,10,13,24,57,26,19,54,42,78,24,32,52,65,1,83
29,27,85,63,26,59,59,52,34,78,57,67,23,79,1,83
74,68,68,87,70,84,84,66,65,83,81,79,79,85,0,83
38,87,94,73,30,37,74,54,32,85,82,82,68,81,1,83
74,76,54,86,75,82,84,72,86,81,80,76,83,75,1,83
68,85,67,78,78,66,85,82,71,68,89,66,74,81,1,83
63,48,72,79,60,77,73,64,65,83,80,85,69,79,0,83
77,79,59,82,71,79,84,79,85,81,78,82,80,82,1,83
68,55,81,77,76,77,79,62,69,75,79,66,69,77,1,83
14,11,15,25,11,26,24,47,39,83,24,32,42,61,1,83
83,78,56,85,86,79,88,62,84,85,75,71,85,87,0,83
12,11,23,34,12,43,15,54,55,77,25,32,42,63,0,83
12,12,11,31,16,30,23,57,61,80,38,45,64,66,0,83
13,13,10,40,13,31,25,54,55,80,23,45,58,57,1,83
60,43,87,77,45,74,74,53,53,83,76,74,75,80,1,83
69,59,78,79,47,74,75,67,65,83,74,86,76,83,1,83
63,62,72,82,47,81,78,67,78,82,77,80,81,86,1,83
14,13,13,37,12,28,17,43,52,80,24,31,55,64,1,83
85,72,74,90,81,89,85,54,62,81,77,56,91,92,1,83
65,66,70,86,55,80,89,72,79,83,81,70,80,90,0,83
80,74,41,83,81,74,87,78,84,83,75,58,84,85,1,83
18,13,16,34,14,34,23,46,35,76,21,31,37,55,1,83
57,50,81,81,71,80,77,67,64,80,81,74,71,87,1,83
11,14,13,19,11,22,23,63,50,82,24,34,65,64,1,83
11,16,14,28,14,17,19,37,39,78,21,20,25,39,1,82
57,53,81,75,55,72,73,72,56,77,79,74,63,77,1,82
63,64,75,83,54,80,82,66,69,79,70,86,83,78,1,82
70,72,58,85,60,80,83,70,79,81,76,78,82,84,1,82
12,12,12,34,14,24,28,54,64,74,24,34,50,68,1,82
61,53,70,82,57,78,76,81,72,80,60,93,77,81,1,82
40,56,83,67,58,58,64,74,61,78,74,76,50,70,1,82
10,8,11,18,18,16,21,42,34,82,21,29,71,67,1,82
81,66,51,78,60,55,83,94,94,83,72,87,79,85,1,82
76,75,60,77,70,68,81,90,85,80,81,81,77,80,1,82
74,50,55,83,76,77,81,74,83,79,78,85,74,78,1,82
79,75,57,82,81,73,85,82,92,80,85,74,83,78,0,82
24,19,15,38,21,41,16,52,40,74,21,42,62,62,0,82
78,42,83,80,28,63,79,84,70,80,62,82,61,76,0,82
36,23,78,78,27,69,76,73,62,79,58,73,60,74,0,82
75,86,69,79,74,53,86,72,82,81,82,76,66,79,1,82
86,57,63,76,30,68,78,86,78,81,67,89,74,73,0,82
55,51,46,86,57,81,81,35,67,72,74,88,76,71,1,82
82,70,50,82,80,72,87,83,85,80,82,80,80,83,0,82
77,78,42,82,59,69,85,84,82,80,80,73,83,69,1,82
40,33,80,65,25,59,65,67,59,78,58,67,50,70,1,82
81,77,43,80,75,77,83,86,83,82,78,55,81,71,0,82
85,58,64,78,69,75,83,91,78,82,80,89,74,77,1,82
36,30,76,70,24,69,69,69,60,78,64,75,40,76,0,82
58,63,68,85,58,79,81,76,72,77,79,87,73,75,1,82
67,74,55,85,72,80,86,79,84,82,76,87,76,82,0,82
64,85,69,65,57,48,76,91,75,88,85,86,72,82,1,82
42,88,84,68,56,42,75,79,79,76,81,83,61,75,1,82
84,70,45,85,77,69,87,70,81,82,73,74,83,77,1,82
74,78,64,78,63,66,83,82,86,83,80,87,82,84,1,82
73,74,68,84,68,78,87,62,69,78,76,61,84,80,0,82
80,80,45,78,60,69,82,89,93,80,79,84,73,78,1,82
68,27,80,75,56,72,69,78,59,82,70,60,57,72,1,82
77,70,72,77,79,75,79,84,87,80,82,90,76,79,1,82
44,43,87,77,46,72,76,53,52,79,68,68,60,79,1,82
83,76,75,82,56,74,82,81,63,80,77,92,71,78,1,82
57,38,88,73,58,71,70,62,60,79,77,69,62,78,1,82
65,69,75,81,56,79,82,76,76,84,86,85,78,82,0,82
72,73,55,86,61,76,84,70,80,79,79,67,81,80,0,82
67,42,81,74,46,69,69,74,69,80,61,72,65,71,1,82
73,80,86,78,44,51,82,86,66,79,80,68,76,76,1,82
17,10,12,47,10,33,32,50,48,78,35,40,60,61,1,82
74,84,74,78,76,66,83,83,91,83,79,69,79,84,1,82
74,84,71,75,54,66,82,88,80,81,84,79,73,80,1,82
86,78,61,83,74,77,84,76,80,77,76,72,84,74,0,82
81,77,47,75,51,65,87,92,88,77,78,76,77,81,1,82
76,80,49,88,81,87,88,72,79,83,77,73,87,72,1,82
75,78,41,84,76,78,82,76,89,81,70,79,84,80,1,82
55,55,82,79,45,78,80,72,72,82,66,67,75,76,1,82
17,42,80,72,19,70,62,64,32,75,50,81,50,74,1,82
54,84,84,78,71,50,80,65,65,81,84,73,68,75,1,82
76,56,76,78,39,74,79,85,79,80,71,87,73,76,1,82
54,37,77,74,46,70,71,59,56,78,59,72,56,72,0,82
67,72,83,79,68,77,77,78,73,81,78,90,77,81,0,82
15,15,14,35,13,37,23,46,50,81,21,44,42,40,0,82
78,75,51,87,72,82,90,64,86,84,68,73,86,85,1,82
53,58,81,77,47,69,70,65,63,82,66,68,55,73,1,82
77,73,61,86,69,83,86,69,79,78,78,62,87,80,1,82
78,78,55,80,57,71,85,74,82,81,77,70,77,77,1,82
82,70,70,84,78,80,85,77,77,82,84,84,82,82,1,82
15,8,17,37,12,24,23,54,49,79,22,36,50,58,1,82
73,76,56,77,73,75,85,91,90,79,83,79,79,74,1,82
59,64,79,79,42,77,81,55,36,81,79,86,77,85,1,82
76,79,53,81,72,73,88,82,92,77,77,78,82,84,0,82
75,74,58,84,66,80,82,69,73,81,81,89,79,81,1,82
91,48,73,79,83,78,80,75,74,81,75,88,80,73,1,82
91,55,80,77,86,77,76,70,63,84,91,84,77,88,0,82
86,77,60,84,86,80,85,55,68,78,83,86,86,84,1,82
72,80,34,80,93,76,86,80,94,80,80,77,81,82,1,82
80,78,74,78,72,74,85,83,70,78,84,78,77,81,1,82
80,71,54,81,72,75,83,79,87,82,72,69,82,80,0,82
81,67,65,84,74,84,80,66,70,80,77,91,83,78,1,82
81,83,63,84,69,80,85,67,74,85,81,71,83,86,0,82
70,70,75,80,55,83,79,69,67,82,87,88,78,78,1,82
50,49,73,78,57,74,72,55,57,78,73,90,63,75,1,82
36,45,77,66,55,68,68,67,54,75,77,84,44,77,1,82
68,44,83,70,60,72,73,65,57,77,64,80,60,78,1,82
67,70,72,84,70,76,84,76,80,82,76,85,78,82,1,82
44,41,89,64,37,62,72,43,29,84,63,74,47,86,1,82
64,83,90,79,65,58,83,50,57,83,85,62,76,78,0,82
49,43,83,76,37,67,67,69,58,78,65,78,48,72,0,82
73,60,55,85,81,83,84,73,81,82,74,84,83,76,0,82
62,58,80,69,74,72,73,36,54,76,80,62,63,78,1,82
46,38,85,68,35,53,60,63,35,77,58,68,49,71,1,82
13,10,11,23,11,28,18,51,52,75,20,34,55,62,1,82
12,17,13,36,16,37,22,33,35,74,21,29,60,64,0,82
52,32,80,76,49,69,66,66,65,76,54,62,56,75,1,82
10,10,10,31,15,27,23,34,57,75,24,31,46,63,1,82
74,50,54,86,76,82,84,65,76,80,77,75,80,80,1,82
85,61,72,81,74,79,86,79,84,77,86,74,78,80,1,82
71,86,67,76,80,67,85,67,71,83,81,70,75,83,1,82
54,83,92,72,54,52,82,66,50,85,82,60,73,87,1,82
19,12,19,35,19,33,22,38,46,77,21,32,53,63,0,82
13,12,25,21,13,22,23,57,62,77,28,43,65,70,0,82
75,78,71,75,78,65,80,93,88,79,87,79,74,73,1,81
73,72,44,79,75,80,82,78,89,80,67,67,80,77,0,81
77,75,57,75,73,66,82,90,86,80,79,76,77,75,0,81
51,36,75,78,27,76,75,86,69,81,58,76,66,76,1,81
75,52,64,87,61,82,88,76,84,83,68,74,85,86,1,81
74,50,58,73,30,65,78,92,88,82,74,91,62,75,1,81
74,77,50,84,60,80,81,66,79,76,75,77,86,71,1,81
72,79,67,80,59,80,83,67,73,79,75,73,82,77,0,81
51,33,79,70,43,56,65,79,65,74,55,72,54,70,1,81
74,68,41,83,63,80,85,67,82,80,64,75,83,80,1,81
75,77,60,74,65,67,80,93,91,77,76,80,75,77,1,81
79,80,54,75,72,68,83,88,78,75,76,82,75,83,1,81
72,69,60,86,81,84,84,70,82,75,78,75,83,83,1,81
79,74,40,78,75,74,83,84,90,79,78,79,75,79,0,81
72,69,62,83,74,83,83,70,74,77,80,84,80,78,1,81
78,77,70,79,53,66,81,94,80,78,85,75,75,71,1,81
74,82,67,73,65,65,87,82,87,82,80,74,78,74,1,81
49,36,80,77,22,72,74,70,61,80,31,69,62,77,1,81
77,64,55,83,67,78,83,69,81,73,76,79,81,82,1,81
18,18,11,26,12,22,15,46,31,74,18,23,49,61,1,81
78,47,66,77,30,70,77,82,76,79,68,87,59,76,1,81
77,65,52,82,65,79,85,84,79,76,76,72,82,75,1,81
81,61,64,80,45,78,79,87,82,81,67,84,75,81,1,81
83,50,65,79,82,78,82,83,85,79,78,83,60,77,0,81
85,75,52,84,82,75,84,68,88,83,79,72,79,75,0,81
68,73,66,82,42,74,80,70,60,74,84,93,76,74,1,81
53,84,77,68,57,55,78,92,91,79,79,72,58,75,1,81
60,84,75,68,58,55,80,75,73,80,80,66,68,78,1,81
78,82,73,76,74,68,79,77,79,81,83,82,78,76,1,81
83,58,69,79,48,70,79,74,70,78,65,85,75,74,0,81
46,30,78,73,68,69,65,77,65,80,44,62,55,80,0,81
58,88,78,63,74,62,78,74,68,75,85,73,60,72,0,81
70,79,56,79,63,67,81,77,75,85,86,84,79,75,1,81
87,33,65,80,34,69,79,86,68,80,79,81,76,79,0,81
61,45,58,80,51,72,81,52,66,85,53,93,73,78,1,81
82,44,73,77,57,70,79,79,67,77,75,90,68,67,1,81
77,69,38,81,79,72,83,77,91,81,78,77,80,76,1,81
76,72,48,78,58,58,83,91,86,81,85,73,76,77,1,81
52,80,79,71,56,45,79,79,76,78,85,76,66,72,0,81
85,54,70,79,68,74,80,82,72,79,80,88,69,75,0,81
13,11,10,17,19,21,23,40,36,78,18,34,41,63,0,81
78,78,58,82,84,74,87,70,70,80,87,64,82,80,0,81
78,81,67,81,76,67,81,77,73,82,85,88,81,80,0,81
53,85,77,76,63,51,81,80,83,84,80,65,65,82,1,81
78,77,65,79,62,80,83,77,74,80,77,80,78,70,1,81
71,49,62,85,77,85,80,49,49,77,88,80,81,74,0,81
83,74,63,81,76,77,86,68,82,78,69,69,85,82,0,81
78,64,53,84,76,83,82,65,80,76,80,87,81,76,1,81
82,67,42,82,84,76,86,86,92,78,81,75,82,78,0,81
59,33,80,69,18,66,67,55,50,75,63,68,56,70,1,81
50,31,68,79,45,78,71,70,78,80,65,84,72,78,1,81
78,71,45,81,84,80,84,77,84,80,87,75,81,82,0,81
73,76,67,76,67,68,84,79,90,82,66,74,77,85,1,81
20,19,14,41,16,32,22,52,53,77,25,28,34,64,1,81
60,50,79,79,62,83,71,82,59,78,78,74,67,78,1,81
74,71,58,83,65,79,82,68,79,82,75,87,78,84,1,81
78,77,73,75,64,72,84,87,83,80,80,85,76,81,1,81
74,78,51,74,63,57,86,87,85,72,74,68,73,72,1,81
52,54,82,63,22,63,58,74,55,75,42,71,49,67,1,81
76,81,69,78,81,72,79,80,69,82,94,86,75,75,0,81
65,76,48,83,63,72,83,60,87,81,54,82,80,83,1,81
74,70,56,80,76,78,86,78,86,73,75,73,79,77,1,81
56,84,70,77,69,62,78,85,75,74,80,74,75,73,1,81
76,79,64,85,69,69,83,67,70,84,81,78,83,83,1,81
49,28,80,75,33,70,71,83,64,81,62,67,59,78,1,81
79,66,57,81,64,69,88,76,83,80,73,73,84,81,1,81
15,10,12,44,10,47,23,62,68,76,25,45,58,53,1,81
58,51,83,72,52,64,65,52,60,81,57,61,57,84,1,81
54,55,82,73,69,69,71,65,40,73,78,76,49,69,1,81
43,39,75,74,30,69,60,72,63,78,73,83,65,81,1,81
82,74,48,82,77,77,82,79,86,77,75,73,77,64,1,81
91,76,36,83,85,85,85,63,68,76,84,65,82,71,1,81
75,78,74,82,71,78,84,65,77,79,84,68,78,82,1,81
82,65,74,76,47,69,76,83,66,81,78,77,71,82,1,81
83,73,55,78,71,73,83,78,74,78,87,86,77,73,1,81
78,74,67,82,85,79,81,76,79,80,86,90,81,73,1,81
78,74,69,83,80,73,84,74,75,78,81,78,83,78,0,81
82,57,62,76,57,66,77,78,69,82,68,78,73,75,0,81
79,81,70,81,71,66,83,80,81,78,74,74,81,80,0,81
75,65,57,81,75,81,81,67,66,81,81,81,81,68,1,81
79,60,62,81,66,72,81,85,72,82,85,79,71,82,1,81
14,13,11,20,12,32,22,47,52,71,14,25,52,63,1,81
77,74,70,83,79,81,82,59,76,75,76,78,80,86,1,81
78,67,60,89,76,85,88,52,74,81,72,69,86,83,1,81
66,84,68,76,78,73,81,67,71,81,87,66,77,81,1,81
61,84,82,75,62,46,79,70,59,78,84,68,69,82,1,81
79,70,59,80,70,80,83,76,82,76,81,76,81,77,1,81
63,68,59,78,63,75,78,73,66,78,81,94,77,75,1,81
78,78,63,83,77,76,85,66,83,82,77,62,81,79,1,81
80,70,61,79,79,77,86,74,92,77,85,74,79,82,1,81
86,62,66,84,75,81,79,62,69,84,82,91,79,86,1,81
79,52,80,73,75,77,62,74,52,74,80,78,58,76,0,81
86,80,59,82,77,83,83,65,72,80,74,54,84,80,1,81
56,85,81,76,53,58,77,65,45,77,79,71,60,65,1,80
69,72,65,82,53,73,83,86,78,78,66,73,83,80,0,80
67,59,56,82,63,79,84,76,83,79,80,78,79,84,1,80
68,72,54,84,59,78,82,79,81,78,61,79,84,82,1,80
80,74,56,84,82,79,82,77,75,80,77,78,83,76,1,80
81,45,73,77,30,70,77,82,78,77,58,80,63,69,1,80
71,74,43,79,70,70,79,89,86,79,78,85,79,76,0,80
82,51,69,78,52,71,78,80,83,80,55,89,75,82,0,80
75,58,59,78,73,75,77,68,78,78,72,89,73,68,1,80
81,78,44,80,71,73,85,75,70,81,73,71,79,69,0,80
33,31,82,71,34,56,56,65,42,77,71,76,45,74,1,80
59,80,81,68,37,52,65,88,67,76,86,91,65,71,1,80
66,37,73,78,51,80,77,73,68,77,60,77,66,79,1,80
50,50,76,74,58,70,75,73,67,79,82,92,67,74,1,80
15,12,20,33,17,26,38,62,68,78,21,39,62,57,1,80
75,73,59,81,72,80,82,75,81,77,79,80,81,79,0,80
87,65,63,78,78,76,82,75,84,76,83,90,78,86,0,80
75,61,51,84,83,85,80,64,65,77,83,78,83,83,1,80
50,81,82,69,76,51,72,85,79,82,85,81,63,68,1,80
